#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2019-03-02T03:13:54 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5c79f439a1c9	
#INFO	-out.max=unlimited	
#INFO	queryParameters=38	
#-oc.form=dec
#-out.max=unlimited
#-out.add=_RAJ,_DEJ
#-nav=cat:J/ApJS/239/2&tab:{J/ApJS/239/2/table2}&key:source=J/ApJS/239/2&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/ApJS/239/2/table2
#-order=I
#-out=TICID
#-out=RAJ2000
#-out=DEJ2000
#-out=Obslen
#-out=Vmag
#-out=Kmag
#-out=Jmag
#-out=Tmag
#-out=R*
#-out=Mass
#-out=Teff
#-out=Dist
#-out=sG
#-out=DetC
#-out=Perp
#-out=Rp
#-out=Nt
#-out=Ars
#-out=Ecc
#-out=Rprs
#-out=Impact
#-out=Dur
#-out=Obsdepth
#-out=Insol
#-out=Noise
#-out=SNR
#-out=2M
#2M=2M
#

#RESOURCE=yCat_22390002
#Name: J/ApJS/239/2
#Title: Simulated exoplanets from TESS list of targets (Barclay+, 2018)
#Table	J_ApJS_239_2_table2:
#Name: J/ApJS/239/2/table2
#Title: Planet and host star properties for every detected planet in our simulation
#Column	_RAJ2000	(F14.10)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F14.10)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
#Column	TICID	(I9)	[144875/471012687] TESS Input Catalog ID number of star	[ucd=meta.id;meta.main]
#Column	RAJ2000	(F12.8)	Right ascension, decimal degrees (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F13.9)	Declination, decimal degrees (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	Obslen	(F5.1)	[27.4/356.2] Number of days that target is observed	[ucd=time.interval]
#Column	Vmag	(F6.3)	[4/20] V-band magnitude	[ucd=phot.mag;em.opt.V]
#Column	Kmag	(F6.3)	[1.7/14.2] 2MASS Ks-band magnitude	[ucd=phot.mag;em.IR.K]
#Column	Jmag	(F6.3)	[2.3/15] 2MASS J-band magnitude	[ucd=phot.mag;em.IR.J]
#Column	Tmag	(F6.3)	[3.4/16.4] TESS bandpass magnitude	[ucd=phot.mag;em.opt.R]
#Column	R*	(F6.3)	[0.1/11.5] Stellar radius	[ucd=phys.size.radius]
#Column	Mass	(F6.3)	[0.06/2.5] Stellar mass	[ucd=phys.mass]
#Column	Teff	(F7.1)	[2763/11565] Stellar effective temperature	[ucd=phys.temperature]
#Column	Dist	(F9.3)	[2.5/15349]? Distance of the star	[ucd=pos.distance;pos.heliocentric]
#Column	sG	(I1)	[0/1] Was this star randomly selected to be a subgiant? 1=yes; 0=no	[ucd=meta.code]
#Column	DetC	(I1)	[0/1] Was this planet detected using the conservative model? 1=yes; 0=no	[ucd=meta.code]
#Column	Perp	(F9.6)	[0.5/99.4] Orbital period of the planet	[ucd=time.period]
#Column	Rp	(F6.3)	[0.6/22] Radius of the planet	[ucd=phys.size.radius]
#Column	Nt	(I3)	[2/425] Number of transits the planet has	[ucd=meta.number]
#Column	Ars	(F7.3)	[1/243.5] Planet semimajor axis scaled by the stellar radius	[ucd=phys.angSize.smajAxis]
#Column	Ecc	(F9.6)	[9e-06/0.5] Planet orbital eccentricity	[ucd=src.orbital.eccentricity]
#Column	Rprs	(F9.6)	[0.005/0.4] Planet radius scaled by the stellar radius	[ucd=phys.size.radius]
#Column	Impact	(F6.3)	[0/1] Planet impact parameter	[ucd=src.impactParam]
#Column	Dur	(F6.3)	[0.3/37.934] Planet transit duration	[ucd=time.duration]
#Column	Obsdepth	(F9.3)	[25.6/92074] The observed transit depth, corrected for dilution in parts per million	[ucd=src.var.amplitude]
#Column	Insol	(F10.3)	[0.06/242177] Insolation flux the planet receives relative to that received by the Earth from the Sun	[ucd=phot.flux;arith.ratio]
#Column	Noise	(F9.3)	[60/18605] The one-hour integrated noise level of the star in parts per million	[ucd=instr.det.noise]
#Column	SNR	(F8.3)	[7/1542] Combined signal-to-noise ratio of all transits	[ucd=stat.snr]
#Column	2M	(A2)	Display the 2MASS data (Cutri et al. 2003, Cat. II/246)	[ucd=meta.ref.url]
_RAJ2000|_DEJ2000|TICID|RAJ2000|DEJ2000|Obslen|Vmag|Kmag|Jmag|Tmag|R*|Mass|Teff|Dist|sG|DetC|Perp|Rp|Nt|Ars|Ecc|Rprs|Impact|Dur|Obsdepth|Insol|Noise|SNR|2M
010.4227800000|-27.6258300000| 43395875|010.42278000|-27.625830000| 27.4|13.864| 9.969|10.863|12.033| 0.574| 0.622| 3870.0|         |0|0|23.720701| 3.021|  2| 51.686| 0.270911| 0.048178| 0.490| 3.249| 2320.989|     3.502|  633.677|   9.337|2M
010.5164400000|-25.6657600000| 43396949|010.51644000|-25.665760000| 27.4|12.058|10.197|10.557|11.116| 1.263| 0.917| 5322.0|  276.302|0|0| 3.850211| 3.444|  8|  7.956| 0.143785| 0.024964| 0.783| 2.457|  623.125|   528.639|  364.207|   7.585|2M
010.8553400000|-25.9222600000| 43398950|010.85534000|-25.922260000| 27.4| 8.940| 7.752| 8.038| 8.482| 1.779| 1.228| 6344.9|  142.530|0|0|18.136833| 2.864|  2| 17.495| 0.024765| 0.014741| 0.220| 7.851|  217.151|   220.888|  106.791|   8.058|2M
007.3909730000|+33.0947600000| 44521831|007.39097300|+33.094760000| 27.4|10.957| 8.849| 9.407|10.125| 1.063| 0.902| 5179.0|  116.881|0|1| 2.373501| 2.928| 11|  6.807| 0.161780| 0.025216| 0.109| 2.726|  627.468|   647.599|  214.920|  15.987|2M
020.8117900000|+26.5426700000| 18111605|020.81179000|+26.542670000| 27.4|12.976| 8.984| 9.821|11.006| 1.022| 0.551| 3737.0|         |1|0|16.937832| 5.182|  2| 22.273| 0.233311| 0.046420| 0.868| 3.401| 1896.388|    16.399|  342.280|  14.450|2M
022.5526900000|+34.6034200000| 44672921|022.55269000|+34.603420000| 27.4|10.840| 9.311| 9.714|10.279| 0.921| 1.034| 5773.0|  140.636|0|0| 4.502308| 2.668|  6| 12.605| 0.189905| 0.026520| 0.892| 1.388|  696.128|   291.601|  232.182|   8.654|2M
004.6262530000|-30.0853400000| 63695048|004.62625300|-30.085340000| 27.4|11.440| 9.886|10.236|10.803| 1.120| 1.027| 5746.0|         |0|1| 5.590561| 3.884|  5| 11.942| 0.022521| 0.031735| 0.625| 2.941|  811.896|   318.861|  305.937|  10.177|2M
014.5015500000|-11.3294400000| 24186439|014.50155000|-11.329440000| 27.4|10.705| 9.327| 9.589|10.073| 1.252| 1.135| 6073.0|  197.746|0|0| 3.304920| 2.594|  9|  7.781| 0.018923| 0.018963| 0.140| 3.285|  357.133|   937.117|  209.469|   9.270|2M
014.5347200000|-08.3494000000| 24186877|014.53472000|-08.349400000| 27.4|11.737| 9.912|10.447|11.170| 0.928| 0.919| 5328.0|  178.546|0|0|11.995667| 3.475|  2| 23.114| 0.103297| 0.034286| 0.510| 3.568| 1175.507|    62.918|  375.605|   8.360|2M
029.6936700000|-05.9632760000| 24980507|029.69367000|-05.963276000| 27.4|14.448|10.420|11.274|12.555| 0.517| 0.558| 3749.0|         |0|0|15.146213| 3.031|  2| 41.039| 0.021379| 0.053672| 0.514| 2.594| 2880.466|     4.893|  894.972|   7.330|2M
022.6273900000|-14.0732100000| 25398947|022.62739000|-14.073210000| 27.4| 8.960| 7.033| 7.566| 8.212| 2.004| 0.903| 5268.0|   50.653|1|1| 4.634557| 9.011|  6|  5.642| 0.097523| 0.041156| 0.837| 3.932| 1687.742|  1009.283|   97.755|  83.855|2M
015.1321700000|-35.9610900000| 66471305|015.13217000|-35.961090000| 27.4|11.482| 9.619|10.024|10.611| 2.516| 0.919| 5280.5|  205.552|1|1| 9.745666|12.917|  3|  7.424| 0.003430| 0.047005| 0.552| 8.967| 2198.622|   588.398|  275.885|  41.333|2M
015.1045900000|-31.3035900000| 66470401|015.10459000|-31.303590000| 27.4|11.415|10.209|10.468|10.944| 1.806| 1.232| 6290.0|  438.248|0|1| 3.928687|11.782|  7|  6.222| 0.015168| 0.059731| 0.824| 3.250| 3550.884|  1686.705|  330.638|  51.220|2M
017.2601800000|-17.0702600000| 66555173|017.26018000|-17.070260000| 27.4|14.403|10.311|11.108|12.348| 0.495| 0.531| 3704.0|         |0|1| 2.700358| 3.200| 10| 13.355| 0.037263| 0.059181| 0.675| 1.263| 3371.547|    44.022|  778.401|  15.392|2M
028.6952600000|+41.3946300000| 67389006|028.69526000|+41.394630000| 27.4|10.872| 9.806|10.081|10.514| 1.292| 1.415| 6684.0|  268.624|0|0|12.990178| 3.551|  3| 20.215| 0.042993| 0.025166| 0.443| 4.542|  627.392|   203.739|  262.111|   8.836|2M
019.2197600000|-34.5543300000| 67655535|019.21976000|-34.554330000| 27.4|13.021|11.186|11.624|12.286| 0.984| 0.935| 5386.0|         |0|0|24.330367| 4.727|  2| 35.116| 0.061133| 0.043973| 0.090| 5.506| 1908.216|    28.466|  747.040|   8.477|2M
009.2950170000|+39.1949800000| 67880641|009.29501700|+39.194980000| 27.4|12.084|10.424|10.747|11.282| 3.844| 1.305| 5956.0|         |1|0|16.749526|18.376|  2|  7.834| 0.182297| 0.043763| 0.223|16.706| 1885.334|   855.254|  400.674|  27.199|2M
024.8093200000|-17.5999900000| 29928623|024.80932000|-17.599990000| 27.4| 9.482| 8.073| 8.391| 8.912| 1.089| 1.093| 5964.0|   95.755|0|1| 2.438119| 3.051| 12|  7.216| 0.047552| 0.025655| 0.453| 2.386|  657.378|  1013.506|  125.075|  28.122|2M
024.9033400000|-17.7226600000| 29938057|024.90334000|-17.722660000| 27.4|11.492| 9.037| 9.709|10.599| 0.781| 0.750| 4651.9|   85.293|0|1| 3.732319| 2.995|  7| 11.781| 0.261197| 0.035110| 0.050| 2.506| 1227.959|   140.762|  274.133|  18.760|2M
003.4423960000|+16.6341400000| 51986358|003.44239600|+16.634140000| 27.4|10.182| 8.307| 8.733| 9.414| 1.003| 0.948| 5436.0|         |0|1| 4.654397| 2.607|  6| 11.494| 0.046913| 0.023800| 0.345| 2.987|  566.347|   275.726|  154.073|  15.563|2M
002.2009810000|-35.2544700000| 70798805|002.20098100|-35.254470000| 27.4|12.700|10.900|11.308|11.921| 0.989| 0.938| 5400.0|         |0|1| 6.377037| 5.671|  5| 14.325| 0.064957| 0.052470| 0.893| 1.898| 2706.066|   172.856|  590.126|  14.128|2M
002.9084880000|-32.1287900000| 70848136|002.90848800|-32.128790000| 27.4|10.426| 8.665| 9.112| 9.713| 1.168| 0.951| 5448.0|  127.986|0|1|10.565507| 3.363|  3| 17.073| 0.001839| 0.026372| 0.293| 4.654|  689.487|   126.061|  176.343|  14.609|2M
026.5696300000|+57.4827200000| 71976077|026.56963000|+57.482720000| 27.4|12.231|10.721|11.070|11.657| 2.819| 1.267| 6365.0|         |1|1| 2.418863|15.192| 11|  2.912| 0.018878| 0.049329| 0.158| 6.742| 2316.027|  8075.963|  500.937|  39.817|2M
024.7048300000|-33.6119500000| 32306536|024.70483000|-33.611950000| 27.4|12.534|10.702|11.129|11.765| 1.877| 1.010| 5477.2|         |0|0|14.646743|15.194|  2| 13.470| 0.020313| 0.074112| 0.496| 7.926| 5457.839|   206.911|  535.307|  40.593|2M
020.8251200000|-12.9398200000| 32550424|020.82512000|-12.939820000| 27.4|13.207| 8.350| 9.181|10.625| 0.352| 0.357| 3432.0|         |0|0| 3.512064| 1.138|  8| 19.603| 0.196764| 0.029603| 0.585| 1.161|  875.742|    15.060|  277.948|   9.601|2M
026.3148000000|-25.1957000000| 33493030|026.31480000|-25.195700000| 27.4|16.319|11.315|12.111|13.662| 0.321| 0.318| 3371.0|         |0|1| 2.173980| 3.921| 13| 15.023| 0.053092| 0.111815| 0.414| 1.142|12502.614|    23.868| 1995.841|  24.137|2M
026.3687100000|-26.8246500000| 33493281|026.36871000|-26.824650000| 27.4|15.130|10.471|11.353|12.730| 0.428| 0.450| 3576.0|         |0|1| 2.254931| 2.740| 12| 12.961| 0.099156| 0.058607| 0.719| 1.035| 3421.437|    40.603| 1009.738|  11.943|2M
027.3144200000|-28.8711900000| 33527499|027.31442000|-28.871190000| 27.4|11.981|10.310|10.735|11.273| 1.054| 0.983| 5570.0|         |0|0| 6.588827| 3.495|  4| 13.959| 0.191347| 0.030361| 0.180| 3.662|  921.763|   206.067|  398.585|   8.851|2M
027.4563500000|-27.1290100000| 33547244|027.45635000|-27.129010000| 27.4| 9.700| 8.761| 8.989| 9.370| 1.730| 1.408| 6669.0|  224.136|0|0|20.837091| 3.446|  2| 20.652| 0.020479| 0.018235| 0.193| 7.710|  330.869|   193.470|  151.140|   8.597|2M
027.8458600000|-29.2063900000| 33574639|027.84586000|-29.206390000| 27.4|12.590|10.697|11.128|11.759| 0.952| 0.911| 5299.0|         |0|1| 9.452240| 6.911|  3| 19.165| 0.011751| 0.066468| 0.223| 3.931| 4417.952|    89.541|  533.324|  28.448|2M
029.3080400000|-25.0468600000| 33625948|029.30804000|-25.046860000| 27.4|12.373|10.652|11.065|11.669| 1.200| 0.963| 5495.0|  330.049|0|0|13.486202| 4.682|  2| 19.639| 0.064606| 0.035733| 0.431| 4.944| 1276.636|    98.608|  504.621|   7.956|2M
023.7387500000|-04.5221770000| 35666400|023.73875000|-04.522177000| 27.4|15.098|10.035|10.884|12.416| 0.323| 0.321| 3375.0|         |0|0| 2.205761| 1.668| 12| 15.122| 0.099047| 0.047272| 0.518| 1.016| 2234.677|    23.668|  814.605|   9.576|2M
004.9741720000|+31.5783500000| 57965032|004.97417200|+31.578350000| 27.4|10.971| 9.373| 9.721|10.253| 2.350| 1.066| 5882.0|         |1|1| 3.605418| 6.171|  7|  4.303| 0.243096| 0.024038| 0.621| 5.283|  565.482|  2697.075|  229.145|  15.006|2M
004.9852860000|+31.2197500000| 57965248|004.98528600|+31.219750000| 27.4|12.159|10.482|10.896|11.472| 1.165| 1.059| 5859.0|         |0|0|17.586342| 4.753|  2| 24.899| 0.048404| 0.037336| 0.680| 4.231| 1393.348|    79.289|  448.066|   9.046|2M
006.1874320000|+35.8116400000| 58102878|006.18743200|+35.811640000| 27.4|12.250|10.234|10.612|11.205| 1.218| 1.152| 5924.5|         |0|0|15.205223|19.428|  2| 22.244| 0.002687| 0.146077| 0.844| 4.051|18465.748|   103.862|  383.226| 137.160|2M
008.4368750000|-23.6460100000| 98610929|008.43687500|-23.646010000| 27.4|11.613|10.089|10.447|10.981| 1.165| 1.035| 5775.0|  254.611|0|0| 5.719822| 3.372|  5| 11.691| 0.075779| 0.026500| 0.735| 2.685|  700.359|   339.483|  337.525|   7.603|2M
005.1407320000|-07.8886710000| 37762425|005.14073200|-07.888671000| 27.4|12.062|10.707|10.909|11.289| 0.929| 1.143| 6092.0|  277.812|0|1| 6.968705| 4.242|  4| 17.279| 0.073431| 0.041787| 0.519| 2.785| 1734.805|   192.425|  402.308|  14.393|2M
005.4900440000|-09.9044750000| 37774136|005.49004400|-09.904475000| 27.4| 9.098| 8.003| 8.290| 8.716| 1.307| 1.369| 6581.0|  117.575|0|1| 8.588669| 8.227|  4| 14.996| 0.279968| 0.057615| 0.217| 4.534| 3315.526|   347.922|  116.089| 121.627|2M
008.1207290000|-68.0071500000| 38836078|008.12072900|-68.007150000| 54.8| 9.360| 6.992| 7.591| 8.412| 1.037| 0.771| 4874.0|   50.736|0|1| 4.681777| 8.822| 12| 10.418| 0.011334| 0.077900| 0.779| 2.567| 6054.135|   216.891|  104.284| 322.212|2M
025.6860100000|-42.2311000000|100123858|025.68601000|-42.231100000| 54.8|10.852| 9.569| 9.913|10.369| 1.009| 1.215| 6702.7|         |0|1| 5.835948| 3.873|  9| 14.435| 0.008350| 0.035152| 0.794| 2.055| 1230.993|   404.053|  243.102|  21.775|2M
028.3121600000|-43.2300700000|160226400|028.31216000|-43.230070000| 54.8|11.421| 9.593|10.007|10.592| 1.325| 0.932| 5435.9|  227.408|0|1| 5.268417| 3.660| 11|  9.399| 0.020463| 0.025300| 0.054| 4.393|  639.876|   412.320|  273.117|  16.287|2M
003.9330640000|-36.0933200000|120579932|003.93306400|-36.093320000| 27.4| 9.714| 8.570| 8.816| 9.244| 1.521| 1.266| 6510.2|  184.189|0|1| 5.767233| 8.083|  4|  9.628| 0.119368| 0.048641| 0.084| 4.793| 2365.365|   808.338|  143.185|  72.334|2M
014.5432400000|-43.2437700000|101947957|014.54324000|-43.243770000| 27.4|15.316| 9.961|10.779|12.403| 0.282| 0.270| 3292.0|         |1|1| 1.763859| 2.633| 16| 14.086| 0.145991| 0.085467| 0.709| 0.787| 7301.847|    24.691|  807.532|  32.092|2M
017.7060100000|-36.5311300000|183591959|017.70601000|-36.531130000| 27.4|11.416| 9.651|10.165|10.894| 0.792| 0.938| 5399.0|  136.181|0|1| 5.185174| 2.924|  5| 15.598| 0.058470| 0.033824| 0.556| 2.217| 1136.196|   145.684|  321.605|  11.761|2M
018.3586000000|+36.3121900000|186366767|018.35860000|+36.312190000| 27.4|10.921| 9.851|10.117|10.588| 1.439| 1.295| 6423.0|  206.010|0|0|15.174450| 4.095|  2| 19.539| 0.165696| 0.026046| 0.228| 5.939|  612.373|   185.954|  272.538|   7.744|2M
021.4808300000|+40.9935200000|186539938|021.48083000|+40.993520000| 27.4|12.888| 9.957|10.719|11.689| 0.997| 0.578| 4212.0|         |1|0| 6.762464| 3.978|  4| 12.579| 0.017797| 0.036532| 0.642| 3.348| 1322.448|    82.976|  510.835|   9.474|2M
